,definition
K00001,"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]"
K08314,"fsaB, talC; fructose-6-phosphate aldolase 2 [EC:4.1.2.-]"
K08315,hycI; hydrogenase 3 maturation protease [EC:3.4.23.51]
K08317,ybdH; uncharacterized oxidoreductase [EC:1.1.-.-]
K08318,yihU; 4-hydroxybutyrate dehydrogenase / sulfolactaldehyde 3-reductase [EC:1.1.1.61 1.1.1.373]
K08319,ltnD; L-threonate 2-dehydrogenase [EC:1.1.1.411]
K08320,nudG; (d)CTP diphosphatase [EC:3.6.1.65]
K08322,rspB; L-gulonate 5-dehydrogenase [EC:1.1.1.380]
K08323,"rspA, manD; mannonate dehydratase [EC:4.2.1.8]"
K08326,ypdF; aminopeptidase [EC:3.4.11.-]
K08348,"fdnG; formate dehydrogenase-N, alpha subunit [EC:1.17.5.3]"
K08349,"fdnH; formate dehydrogenase-N, beta subunit"
K08350,"fdnI; formate dehydrogenase-N, gamma subunit"
K08351,bisC; biotin/methionine sulfoxide reductase [EC:1.-.-.-]
K08352,"phsA, psrA; thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5]"
K08354,phsC; thiosulfate reductase cytochrome b subunit
K08357,ttrA; tetrathionate reductase subunit A
K08363,merT; mercuric ion transport protein
K08364,merP; periplasmic mercuric ion binding protein
K08365,"merR; MerR family transcriptional regulator, mercuric resistance operon regulatory protein"
K08368,"yaaU; MFS transporter, putative metabolite transport protein"
K08369,"ydjE; MFS transporter, putative metabolite:H+ symporter"
K08372,pepD; putative serine protease PepD [EC:3.4.21.-]
K08484,"PTS-EI.PTSP, ptsP; phosphotransferase system, enzyme I, PtsP [EC:2.7.3.9]"
K08485,"PTS-HPR.PTSO, ptsO, npr; phosphocarrier protein NPr"
K08602,"pepF, pepB; oligoendopeptidase F [EC:3.4.24.-]"
K08641,vanX; zinc D-Ala-D-Ala dipeptidase [EC:3.4.13.22]
K08676,tri; tricorn protease [EC:3.4.21.-]
K08680,"menH; 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase [EC:4.2.99.20]"
K08717,utp; urea transporter
K08722,yfbR; 5'-deoxynucleotidase [EC:3.1.3.89]
K08723,yjjG; 5'-nucleotidase [EC:3.1.3.5]
K08724,pbpB; penicillin-binding protein 2B
K08961,K08961; chondroitin-sulfate-ABC endolyase/exolyase [EC:4.2.2.20 4.2.2.21]
K08963,mtnA; methylthioribose-1-phosphate isomerase [EC:5.3.1.23]
K08965,"mtnW; 2,3-diketo-5-methylthiopentyl-1-phosphate enolase [EC:5.3.2.5]"
K08969,"mtnE, mtnV; aminotransferase [EC:2.6.1.-]"
K08970,rcnA; nickel/cobalt transporter (NicO) family protein
K08972,K08972; putative membrane protein
K08978,TC.BAT1; bacterial/archaeal transporter family protein
K08981,K08981; putative membrane protein
K08984,yjdF; putative membrane protein
K08986,ycgQ; putative membrane protein
K08989,K08989; putative membrane protein
K08990,ycjF; putative membrane protein
K08992,lapA; lipopolysaccharide assembly protein A
K08994,"yneE, BEST; ion channel-forming bestrophin family protein"
K08996,yagU; putative membrane protein
K08997,ydiU; uncharacterized protein
K08998,K08998; uncharacterized protein
K08999,K08999; uncharacterized protein
K09001,anmK; anhydro-N-acetylmuramic acid kinase [EC:2.7.1.170]
K09004,K09004; uncharacterized protein
K09005,K09005; uncharacterized protein
K09007,folE2; GTP cyclohydrolase IB [EC:3.5.4.16]
K09009,K09009; uncharacterized protein
K09011,cimA; (R)-citramalate synthase [EC:2.3.1.182]
K09013,sufC; Fe-S cluster assembly ATP-binding protein
K09014,sufB; Fe-S cluster assembly protein SufB
K09016,rutG; putative pyrimidine permease RutG
K09018,rutA; pyrimidine oxygenase [EC:1.14.99.46]
K09019,rutE; 3-hydroxypropanoate dehydrogenase [EC:1.1.1.-]
K09020,rutB; ureidoacrylate peracid hydrolase [EC:3.5.1.110]
K09021,rutC; aminoacrylate peracid reductase
K09022,"ridA, tdcF, RIDA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]"
K09023,rutD; aminoacrylate hydrolase [EC:3.5.1.-]
K09024,rutF; flavin reductase [EC:1.5.1.-]
K09116,K09116; uncharacterized protein
K09117,K09117; uncharacterized protein
K09118,K09118; uncharacterized protein
K09128,K09128; uncharacterized protein
K09131,K09131; uncharacterized protein
K09136,ycaO; ribosomal protein S12 methylthiotransferase accessory factor
K09137,K09137; uncharacterized protein
K09138,K09138; uncharacterized protein
K09139,K09139; uncharacterized protein
K09144,K09144; uncharacterized protein
K09155,K09155; uncharacterized protein
K09158,K09158; uncharacterized protein
K09159,cptB; antitoxin CptB
K09160,K09160; uncharacterized protein
K09161,K09161; uncharacterized protein
K09167,K09167; uncharacterized protein
K09251,patA; putrescine aminotransferase [EC:2.6.1.82]
K09456,aidB; putative acyl-CoA dehydrogenase
K09469,aepZ; 2-aminoethylphosphonate-pyruvate transaminase
K09470,puuA; gamma-glutamylputrescine synthase [EC:6.3.1.11]
K09471,"puuB, ordL; gamma-glutamylputrescine oxidase [EC:1.4.3.-]"
K09472,"puuC, aldH; 4-(gamma-glutamylamino)butanal dehydrogenase [EC:1.2.1.99]"
K09473,puuD; gamma-glutamyl-gamma-aminobutyrate hydrolase [EC:3.5.1.94]
K09474,phoN; acid phosphatase (class A) [EC:3.1.3.2]
K09475,ompC; outer membrane pore protein C
K09476,ompF; outer membrane pore protein F
K09477,citT; citrate:succinate antiporter
K09516,"RETSAT; all-trans-retinol 13,14-reductase [EC:1.3.99.23]"
K09612,iap; alkaline phosphatase isozyme conversion protein [EC:3.4.11.-]
K09684,"pucR; PucR family transcriptional regulator, purine catabolism regulatory protein"
K09688,kpsM; capsular polysaccharide transport system permease protein
K09689,kpsT; capsular polysaccharide transport system ATP-binding protein [EC:7.6.2.12]
K09690,ABC-2.LPSE.P; lipopolysaccharide transport system permease protein
K09691,ABC-2.LPSE.A; lipopolysaccharide transport system ATP-binding protein
K09692,tagG; teichoic acid transport system permease protein
K09696,natB; sodium transport system permease protein
K09697,natA; sodium transport system ATP-binding protein [EC:7.2.2.4]
K09702,K09702; uncharacterized protein
K09703,K09703; uncharacterized protein
K09705,K09705; uncharacterized protein
K09710,ybeB; ribosome-associated protein
K09729,K09729; uncharacterized protein
K09748,rimP; ribosome maturation factor RimP
K09758,asdA; aspartate 4-decarboxylase [EC:4.1.1.12]
K09760,rmuC; DNA recombination protein RmuC
K09761,rsmE; 16S rRNA (uracil1498-N3)-methyltransferase [EC:2.1.1.193]
K09764,K09764; uncharacterized protein
K09765,queH; epoxyqueuosine reductase [EC:1.17.99.6]
K09767,yajQ; cyclic-di-GMP-binding protein
K09769,K09769; uncharacterized protein
K09770,K09770; uncharacterized protein
K09771,TC.SMR3; small multidrug resistance family-3 protein
K09773,"ppsR; [pyruvate, water dikinase]-phosphate phosphotransferase / [pyruvate, water dikinase] kinase [EC:2.7.4.28 2.7.11.33]"
K09774,lptA; lipopolysaccharide export system protein LptA
K09778,lpxJ; Kdo2-lipid IVA 3' secondary acyltransferase [EC:2.3.1.-]
K09779,K09779; uncharacterized protein
K09780,K09780; uncharacterized protein
K09781,K09781; uncharacterized protein
K09786,K09786; uncharacterized protein
K09789,bioG; pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85]
K09791,K09791; uncharacterized protein
K09793,K09793; uncharacterized protein
K09794,K09794; uncharacterized protein
K09798,K09798; uncharacterized protein
K09799,K09799; uncharacterized protein
K09800,tamB; translocation and assembly module TamB
K09801,K09801; uncharacterized protein
K09802,K09802; uncharacterized protein
K09803,K09803; uncharacterized protein
K09805,K09805; uncharacterized protein
K09807,K09807; uncharacterized protein
K09809,tagF; CDP-glycerol glycerophosphotransferase [EC:2.7.8.12]
K09812,ftsE; cell division transport system ATP-binding protein
K09815,znuA; zinc transport system substrate-binding protein
K09816,znuB; zinc transport system permease protein
K09817,znuC; zinc transport system ATP-binding protein [EC:7.2.2.-]
K09819,ABC.MN.P; manganese/iron transport system permease protein
K09820,ABC.MN.A; manganese/iron transport system ATP-binding protein
K09823,"zur; Fur family transcriptional regulator, zinc uptake regulator"
K09825,"perR; Fur family transcriptional regulator, peroxide stress response regulator"
K09857,K09857; uncharacterized protein
K09858,K09858; SEC-C motif domain protein
K09859,K09859; uncharacterized protein
K09861,K09861; uncharacterized protein
K09862,K09862; uncharacterized protein
K09882,cobS; cobaltochelatase CobS [EC:6.6.1.2]
K09888,zapA; cell division protein ZapA
K09891,K09891; uncharacterized protein
K09892,zapB; cell division protein ZapB
K09893,rraB; regulator of ribonuclease activity B
K09894,K09894; uncharacterized protein
K09895,K09895; uncharacterized protein
K09896,K09896; uncharacterized protein
K09897,K09897; uncharacterized protein
K09898,K09898; uncharacterized protein
K09899,K09899; uncharacterized protein
K09900,K09900; uncharacterized protein
K09901,K09901; uncharacterized protein
K09903,pyrH; uridylate kinase [EC:2.7.4.22]
K09904,K09904; uncharacterized protein
K09906,epmC; elongation factor P hydroxylase [EC:1.14.-.-]
K09907,K09907; uncharacterized protein
K09908,K09908; uncharacterized protein
K09909,K09909; uncharacterized protein
K09911,K09911; uncharacterized protein
K09912,K09912; uncharacterized protein
K09913,ppnP; purine/pyrimidine-nucleoside phosphorylase [EC:2.4.2.1 2.4.2.2]
K09914,K09914; putative lipoprotein
K09916,K09916; uncharacterized protein
K09917,K09917; uncharacterized protein
K09918,K09918; uncharacterized protein
K09920,K09920; uncharacterized protein
K09921,K09921; uncharacterized protein
K09922,K09922; uncharacterized protein
K09923,K09923; uncharacterized protein
K09924,K09924; uncharacterized protein
K09925,K09925; uncharacterized protein
K09927,K09927; uncharacterized protein
K09928,K09928; uncharacterized protein
K09931,K09931; uncharacterized protein
K09933,mtfA; MtfA peptidase
K09934,K09934; uncharacterized protein
K09935,K09935; uncharacterized protein
K09936,TC.BAT2; bacterial/archaeal transporter family-2 protein
K09937,K09937; uncharacterized protein
K09939,K09939; uncharacterized protein
K09940,K09940; uncharacterized protein
K09946,K09946; uncharacterized protein
K09949,K09949; uncharacterized protein
K09951,cas2; CRISPR-associated protein Cas2
K09952,"csn1, cas9; CRISPR-associated endonuclease Csn1 [EC:3.1.-.-]"
K09955,K09955; uncharacterized protein
K09960,K09960; uncharacterized protein
K09961,K09961; uncharacterized protein
K09964,K09964; uncharacterized protein
K09967,K09967; uncharacterized protein
K09969,"aapJ, bztA; general L-amino acid transport system substrate-binding protein"
K09970,"aapQ, bztB; general L-amino acid transport system permease protein"
K09971,"aapM, bztC; general L-amino acid transport system permease protein"
K09972,"aapP, bztD; general L-amino acid transport system ATP-binding protein [EC:7.4.2.1]"
K09973,K09973; uncharacterized protein
K09975,K09975; uncharacterized protein
K09978,K09978; uncharacterized protein
K09979,K09979; uncharacterized protein
K09980,K09980; uncharacterized protein
K09982,K09982; uncharacterized protein
K09988,lyxA; D-lyxose ketol-isomerase [EC:5.3.1.15]
K09989,K09989; uncharacterized protein
K09996,artJ; arginine transport system substrate-binding protein
K09997,artI; arginine transport system substrate-binding protein
K09998,artM; arginine transport system permease protein
K09999,artQ; arginine transport system permease protein
K10000,artP; arginine transport system ATP-binding protein [EC:7.4.2.1]
K10001,"gltI, aatJ; glutamate/aspartate transport system substrate-binding protein"
K10002,"gltK, aatM; glutamate/aspartate transport system permease protein"
K10003,"gltJ, aatQ; glutamate/aspartate transport system permease protein"
K10004,"gltL, aatP; glutamate/aspartate transport system ATP-binding protein [EC:7.4.2.1]"
K10005,gluB; glutamate transport system substrate-binding protein
K10006,gluC; glutamate transport system permease protein
K10007,gluD; glutamate transport system permease protein
K10008,gluA; glutamate transport system ATP-binding protein [EC:7.4.2.1]
K10011,"arnA, pmrI; UDP-4-amino-4-deoxy-L-arabinose formyltransferase / UDP-glucuronic acid dehydrogenase (UDP-4-keto-hexauronic acid decarboxylating) [EC:2.1.2.13 1.1.1.305]"
K10012,"arnC, pmrF; undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase [EC:2.4.2.53]"
K10013,argT; lysine/arginine/ornithine transport system substrate-binding protein
K10014,hisJ; histidine transport system substrate-binding protein
K10015,hisM; histidine transport system permease protein
K10016,hisQ; histidine transport system permease protein
K10017,hisP; histidine transport system ATP-binding protein [EC:7.4.2.1]
K10036,glnH; glutamine transport system substrate-binding protein
K10037,glnP; glutamine transport system permease protein
K10038,glnQ; glutamine transport system ATP-binding protein [EC:7.4.2.1]
K10094,cbiK; nickel transport protein
K10107,kpsE; capsular polysaccharide transport system permease protein
K10108,malE; maltose/maltodextrin transport system substrate-binding protein
K10109,malF; maltose/maltodextrin transport system permease protein
K10110,malG; maltose/maltodextrin transport system permease protein
K10111,"malK, mtlK, thuK; multiple sugar transport system ATP-binding protein [EC:3.6.3.-]"
K10120,"K10120, msmE; fructooligosaccharide transport system substrate-binding protein"
K10121,"K10121, msmF; fructooligosaccharide transport system permease protein"
K10122,"K10122, msmG; fructooligosaccharide transport system permease protein"
K10124,bglH; carbohydrate-specific outer membrane porin
K10125,"dctB; two-component system, NtrC family, C4-dicarboxylate transport sensor histidine kinase DctB [EC:2.7.13.3]"
K10126,"dctD; two-component system, NtrC family, C4-dicarboxylate transport response regulator DctD"
K10206,E2.6.1.83; LL-diaminopimelate aminotransferase [EC:2.6.1.83]
K10213,rihB; ribosylpyrimidine nucleosidase [EC:3.2.2.8]
K10231,kojP; kojibiose phosphorylase [EC:2.4.1.230]
K10241,cebF; cellobiose transport system permease protein
K10439,rbsB; ribose transport system substrate-binding protein
K10440,rbsC; ribose transport system permease protein
K10441,rbsA; ribose transport system ATP-binding protein [EC:7.5.2.7]
K10530,lctO; L-lactate oxidase [EC:1.1.3.2]
K10537,araF; L-arabinose transport system substrate-binding protein
K10538,araH; L-arabinose transport system permease protein
K10539,araG; L-arabinose transport system ATP-binding protein [EC:7.5.2.12]
K10543,xylF; D-xylose transport system substrate-binding protein
K10544,xylH; D-xylose transport system permease protein
K10545,xylG; D-xylose transport system ATP-binding protein [EC:7.5.2.10]
K10547,"ABC.GGU.P, gguB; putative multiple sugar transport system permease protein"
K10548,"ABC.GGU.A, gguA; putative multiple sugar transport system ATP-binding protein [EC:7.5.2.-]"
K10549,alsB; D-allose transport system substrate-binding protein
K10550,alsC; D-allose transport system permease protein
K10551,alsA; D-allose transport system ATP-binding protein [EC:7.5.2.8]
K10556,lsrC; AI-2 transport system permease protein
K10558,"lsrA, ego; AI-2 transport system ATP-binding protein"
K10559,rhaS; rhamnose transport system substrate-binding protein
K10560,rhaP; rhamnose transport system permease protein
K10561,rhaQ; rhamnose transport system permease protein
K10563,"mutM, fpg; formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]"
K10678,nfsA; nitroreductase [EC:1.-.-.-]
K10679,"nfnB, nfsB; nitroreductase / dihydropteridine reductase [EC:1.-.-.- 1.5.1.34]"
K10680,nemA; N-ethylmaleimide reductase [EC:1.-.-.-]
K10681,"saeS; two-component system, OmpR family, sensor histidine kinase SaeS [EC:2.7.13.3]"
K10682,"saeR; two-component system, OmpR family, response regulator SaeR"
K10697,"rpaA; two-component system, OmpR family, response regulator RpaA"
K10708,frlB; fructoselysine 6-phosphate deglycase [EC:3.5.-.-]
K10709,frlC; fructoselysine 3-epimerase [EC:5.1.3.41]
K10710,frlD; fructoselysine 6-kinase [EC:2.7.1.218]
K10716,"kch, trkA, mthK, pch; voltage-gated potassium channel"
K10742,DNA2; DNA replication ATP-dependent helicase Dna2 [EC:3.6.4.12]
K10747,LIG1; DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7]
K10748,"tus, tau; DNA replication terminus site-binding protein"
K10763,hda; DnaA-homolog protein
K10773,NTH; endonuclease III [EC:4.2.99.18]
K10778,"ada; AraC family transcriptional regulator, regulatory protein of adaptative response / methylated-DNA-[protein]-cysteine methyltransferase [EC:2.1.1.63]"
K10793,prdA; D-proline reductase (dithiol) PrdA [EC:1.21.4.1]
K10794,prdB; D-proline reductase (dithiol) PrdB [EC:1.21.4.1]
K10797,enr; 2-enoate reductase [EC:1.3.1.31]
K10800,SMUG1; single-strand selective monofunctional uracil DNA glycosylase [EC:3.2.2.-]
K10804,tesA; acyl-CoA thioesterase I [EC:3.1.2.- 3.1.2.2 3.1.1.2 3.1.1.5]
K10805,tesB; acyl-CoA thioesterase II [EC:3.1.2.-]
K10806,yciA; acyl-CoA thioesterase YciA [EC:3.1.2.-]
K10819,E2.7.13.3; histidine kinase [EC:2.7.13.3]
K10820,ytfR; galactofuranose transport system ATP-binding protein [EC:7.5.2.9]
K10823,oppF; oligopeptide transport system ATP-binding protein
K10824,"nikE, cntF; nickel transport system ATP-binding protein [EC:7.2.2.11]"
K10829,fhuC; ferric hydroxamate transport system ATP-binding protein [EC:7.2.2.16]
K10830,"psaB, scaC; manganese/zinc transport system ATP-binding protein [EC:7.2.2.5]"
K10831,tauB; taurine transport system ATP-binding protein [EC:7.6.2.7]
K10857,exoX; exodeoxyribonuclease X [EC:3.1.11.-]
K10906,recE; exodeoxyribonuclease VIII [EC:3.1.11.-]
K10907,K10907; aminotransferase [EC:2.6.1.-]
K10914,"crp; CRP/FNR family transcriptional regulator, cyclic AMP receptor protein"
K10939,acfD; accessory colonization factor AcfD
K10947,"padR; PadR family transcriptional regulator, regulatory protein PadR"
K10972,"allS; LysR family transcriptional regulator, transcriptional activator of the allD operon"
K10973,"allR; IclR family transcriptional regulator, negative regulator of allantoin and glyoxylate utilization operons"
K10974,codB; cytosine permease
